"Area","Region","IncomeGroup","timePeriod","stability","diversity","asynchrony","meanNitrogen_t_ha","meanIrrigation_share","meanWarfare","instabilityTemp","instabilityPrec"
"Afghanistan","South Asia","Low income",1968,9.62194433104439,4.5501640210737,0.166542320125023,0.00265270340945882,6.333,0.734679163662581,-15.216019619815,-4.36542257420768
"Afghanistan","South Asia","Low income",1978,60.3771980814867,4.85278133372202,0.367098415835792,0.00522225396194545,6.756,1.13150684931507,-32.4281549979475,-5.97465040104594
"Afghanistan","South Asia","Low income",1988,20.4258542345007,4.37515645523092,0.406539767382605,0.00347921032036556,8.107,0.967557251908397,-34.8507977984119,-9.12405145251188
"Afghanistan","South Asia","Low income",1998,5.91278950731977,3.88114597221814,0.252017857067691,0.00202699094734158,8.469,0.568459657701711,-27.4911531725813,-5.72671556535337
"Afghanistan","South Asia","Low income",2008,10.1667427338079,3.98401904855179,0.374602044768974,0.00567441246001947,8.46,0.455864570737606,-27.5539844945475,-6.75140313230063
"Albania","Europe & Central Asia","Upper middle income",1968,15.2456286835825,8.56667941031149,0.511077313625679,0.0514330958036421,26.294,0.734679163662581,-37.4639365438101,-6.89013042650223
"Albania","Europe & Central Asia","Upper middle income",1978,14.1278722559107,8.91252029314586,0.579115927722786,0.101639807746678,34.547,1.13150684931507,-35.669494629384,-7.0451962727724
"Albania","Europe & Central Asia","Upper middle income",1988,8.06092122053074,7.71786215915972,0.256144391387351,0.0436709759909078,33.154,0.967557251908397,-27.5631567772352,-8.21621379087676
"Albania","Europe & Central Asia","Upper middle income",1998,49.2306614625402,11.3629930745766,0.801793035339153,0.0370012005751258,31.082,0.568459657701711,-33.2264408421633,-11.5549283730875
"Albania","Europe & Central Asia","Upper middle income",2008,15.1441667247397,12.1163707830434,0.509626201481995,0.0497017288914417,28.79,0.455864570737606,-31.6699582700261,-4.2167717363123
"Algeria","Middle East & North Africa","Upper middle income",1968,3.94382093563629,5.1297734553419,0.131282501658524,0.00735332839513075,0.545,0.734679163662581,-39.1757525063071,-5.18851902317225
"Algeria","Middle East & North Africa","Upper middle income",1978,5.43976317562154,6.76999926517614,0.113446599574515,0.00995251813913786,0.724,1.13150684931507,-31.3372443111858,-4.60011599487738
"Algeria","Middle East & North Africa","Upper middle income",1988,4.93221211774363,8.65495993335404,0.14400962838476,0.00568555111942184,1.277,0.967557251908397,-27.4013222529048,-7.19959152913839
"Algeria","Middle East & North Africa","Upper middle income",1998,9.67932507062629,8.59947807379365,0.284261716555318,0.00502414686913959,1.873,0.568459657701711,-43.9012688911149,-6.61997176771744
"Algeria","Middle East & North Africa","Upper middle income",2008,7.31922848542627,9.210237394262,0.317860974688808,0.0071708995547949,2.97333333333333,0.455864570737606,-57.763241011607,-11.6551206473848
"Angola","Sub-Saharan Africa","Lower middle income",1968,13.6963888798156,7.02627763621332,0.568107644918421,0.00205241460541814,0.133,0.734679163662581,-69.2414478142039,-14.0607380856737
"Angola","Sub-Saharan Africa","Lower middle income",1978,20.6632303939496,6.49807618070589,0.534031821568022,0.00192085294117647,0.14,1.13150684931507,-72.80048050063,-14.1363366643253
"Angola","Sub-Saharan Africa","Lower middle income",1988,11.9457433569796,5.59441602629735,0.693528580256478,0.000932092352092352,0.14,0.967557251908397,-74.9776011663663,-9.71915275109417
"Angola","Sub-Saharan Africa","Lower middle income",1998,14.7971944790368,6.80746449530087,0.732489888080903,0.000962736119061248,0.145,0.568459657701711,-62.8585260291483,-9.62538233615683
"Angola","Sub-Saharan Africa","Lower middle income",2008,10.9513352912647,7.15747388374627,0.558722616138322,0.0039902962962963,0.15,0.455864570737606,-52.1780220212513,-9.56239593487014
"Argentina","Latin America & Caribbean","Upper middle income",1968,14.640686948305,9.33612446671001,0.942666418831574,0.00148033780419785,1.047,0.734679163662581,-47.2369695117626,-8.86801249716662
"Argentina","Latin America & Caribbean","Upper middle income",1978,13.0011237968281,9.50726124385435,0.696911197665506,0.00265411158860541,1.13,1.13150684931507,-44.6745113452874,-13.1139599031036
"Argentina","Latin America & Caribbean","Upper middle income",1988,14.4003691134922,8.62719163053022,0.873204507261664,0.00824545408862822,1.183,0.967557251908397,-49.2459864464363,-7.74868224643152
"Argentina","Latin America & Caribbean","Upper middle income",1998,17.8162713716603,6.09115973765956,0.797699525127277,0.020380202204173,1.27,0.568459657701711,-47.1070609948032,-7.29411336125993
"Argentina","Latin America & Caribbean","Upper middle income",2008,9.58122565735179,5.2121563536915,0.625347396390476,0.0195723510831245,1.55333333333333,0.455864570737606,-77.1475983290928,-4.43248434240364
